Time (s),PPG Value
5.520996,-0.6747
5.530832,-0.5126
5.540684,-0.2636
5.550552,-0.1346
5.5611,-0.031
5.571124,0.2182
5.581128,0.3993
5.591136,0.4674
5.601204,0.4458
5.611924,0.3646
5.62196,0.229
5.631944,-0.0791
5.6418,-0.2291
5.651676,-0.1738
5.66222,-0.2744
5.672056,-0.4894
5.68192,-0.6764
5.691756,-0.7709
5.701572,-0.8194
5.712108,-0.8623
5.721948,-0.7198
5.7318,-0.5773
5.741652,-0.3234
5.751496,-0.1939
5.762048,-0.1454
5.771924,-0.2499
5.781756,-0.8271
5.7916,-0.4942
5.801576,0.4887
5.812264,0.6584
5.822992,0.6839
5.833004,0.6657
5.842996,0.5998
5.853012,0.5027
5.86372,0.4226
5.87532,-0.0064
5.885144,-0.5001
5.894968,-0.5547
5.904812,-0.5767
5.915324,-0.7936
5.925176,-0.8703
5.934984,-0.9288
5.94482,-0.7916
5.954656,-0.5657
5.96448,-0.4381
5.975,-0.2318
5.984908,0.0025
5.994912,0.0289
6.004948,0.0135
6.014948,0.1606
6.025652,0.2438
6.035688,0.3081
6.045704,0.1481
6.055732,0.1014
6.065764,0.2386
6.07646,0.3158
6.08812,0.3079
6.09812,0.1309
6.108064,-0.1069
6.117928,-0.3108
6.128448,-0.4788
6.138304,-0.7025
6.148144,-0.8095
6.15798,-0.7892
6.1678,-0.5994
6.178292,-0.416
6.188132,-0.386
6.197972,-0.3982
6.207808,-0.4462
6.217628,-0.4961
6.228156,-0.3862
6.237996,-0.3018
6.247852,-0.1144
6.257856,0.1292
6.267868,0.2394
6.279284,0.1929
6.2893,0.1179
6.299316,0.0941
6.30934,0.1133
6.319364,0.1055
6.33006,0.2254
6.341704,0.1472
6.351604,-0.2352
6.361468,-0.4489
6.371324,-0.5763
6.381868,-0.5061
6.391688,-0.4991
6.401528,-0.4641
6.41136,-0.4959
6.421184,-0.4974
6.431728,-0.3823
6.441588,-0.3173
6.451436,-0.3262
6.461272,-0.2778
6.471124,-0.155
6.481796,0.1155
6.49186,0.1191
6.501888,0.1299
6.511908,0.1149
6.521936,0.0942
6.532648,0.036
6.54254,-0.0368
6.552384,-0.1312
6.562252,-0.2986
6.5721,-0.5494
6.58262,-0.5373
6.59246,-0.4179
6.602304,-0.5111
6.61214,-0.8168
6.62196,-0.9287
6.632484,-0.8359
6.64234,-0.4792
6.65218,-0.3802
6.662024,-0.1867
6.671888,-0.0913
6.681712,-0.276
6.692228,-0.3493
6.702164,0.1178
6.712168,0.2957
6.722168,0.5674
6.732188,0.657
6.743596,0.5849
6.753588,0.4284
6.7636,0.3118
6.773604,0.3951
6.783648,0.1954
6.794208,-0.4304
6.805616,-0.5827
6.81546,-0.8308
6.825276,-0.809
6.835072,-0.6233
6.845604,-0.5494
6.855424,-0.7275
6.86524,-0.8869
6.875048,-0.7306
6.884892,-0.4536
6.895472,0.0297
6.905512,0.3553
6.915504,0.4271
6.925556,0.3533
6.935564,0.1472
6.946272,0.1755
6.956296,0.2996
6.966328,0.2203
6.976356,0.1826
6.9864,0.046
6.996904,-0.2548
7.006748,-0.4917
7.016588,-0.5268
7.026428,-0.5626
7.036284,-0.6985
7.046796,-0.8177
7.056624,-0.7403
7.066452,-0.5466
7.0763,-0.4055
7.086136,-0.2941
7.096676,-0.2033
7.106504,-0.2935
7.116344,-0.4285
7.1262,-0.1541
7.136196,0.1363
7.146896,0.2616
7.15762,0.2645
7.16762,0.2021
7.177636,0.1344
7.187664,0.101
7.198376,0.1465
7.210008,0.022
7.219828,-0.4418
7.229672,-0.9465
7.239512,-0.9055
7.250052,-0.5981
7.259884,-0.5146
7.269728,-0.4646
