Time (s),PPG Value
9.553213,-0.2867
9.563076,-0.2463
9.572964,-0.187
9.582884,-0.1649
9.592753,-0.1395
9.602617,-0.1657
9.61092,-0.1908
9.62078,-0.1644
9.630661,-0.0881
9.640632,0.0032
9.650669,0.0801
9.660704,0.1217
9.670761,0.1372
9.680996,0.0911
9.691092,0.0567
9.701028,-0.1017
9.710901,-0.2499
9.720756,-0.3392
9.730628,-0.4027
9.740525,-0.4631
9.748832,-0.4444
9.758725,-0.4496
9.768592,-0.4244
9.778441,-0.4618
9.78834,-0.4305
9.798216,-0.4799
9.806525,-0.4569
9.816405,-0.36
9.826252,-0.266
9.836076,-0.2091
9.845956,-0.1602
9.854285,-0.1826
9.86418,-0.2094
9.874069,-0.2356
9.883876,-0.266
9.893756,-0.3462
9.903613,-0.3253
9.911932,-0.2444
9.921805,-0.128
9.931684,-0.1268
9.941569,-0.1682
9.951473,-0.28
9.961337,-0.3416
9.969644,-0.3921
9.979529,-0.4537
9.989384,-0.3159
9.99928,-0.2002
10.009177,-0.076
10.019241,0.03
10.029333,0.202
10.039448,0.3222
10.049592,0.3913
10.059724,0.4118
10.070033,0.4239
10.080132,0.3825
10.090265,0.2243
10.100344,-0.22
10.110277,-0.4272
10.120237,-0.5777
10.130172,-0.6715
10.140125,-0.681
10.150089,-0.6004
10.160017,-0.5687
10.169968,-0.4968
10.179904,-0.4034
10.189836,-0.3412
10.199809,-0.3095
10.20976,-0.2845
10.21812,-0.2841
10.228064,-0.2902
10.237997,-0.2682
10.247948,-0.2411
10.257917,-0.1702
10.267861,-0.1211
10.277836,-0.0995
10.287796,-0.0341
10.297904,0.0344
10.308084,0.0327
10.318224,0.0062
10.328152,-0.0637
10.338132,-0.1358
10.348096,-0.2276
10.358057,-0.3563
10.368008,-0.1938
10.378056,0.1384
10.388176,0.3258
10.398292,0.3622
10.408653,0.2894
10.418788,0.0684
10.428729,-0.1459
10.438693,-0.2135
10.448653,-0.1942
10.458637,-0.2177
10.468601,-0.2528
10.478536,-0.2985
10.488489,-0.362
10.498429,-0.4134
10.508408,-0.4099
10.518337,-0.4258
10.526717,-0.3832
10.536672,-0.288
10.546612,-0.2333
10.5566,-0.2331
10.566516,-0.2877
10.576464,-0.3975
10.586397,-0.4134
10.596328,-0.3423
10.606321,-0.3249
10.616276,-0.2817
10.626224,-0.2975
10.634605,-0.3233
10.644556,-0.3091
10.6545,-0.277
10.664481,-0.2167
10.674425,-0.0805
10.684484,0.0654
10.694601,0.1675
10.704725,0.2058
10.715048,0.2146
10.725169,0.2066
10.735308,0.1574
10.74544,0.0743
10.755484,-0.0764
10.76548,-0.2456
10.775421,-0.4558
10.785381,-0.6472
10.79534,-0.7214
10.805256,-0.7587
10.815224,-0.6936
10.825173,-0.5815
10.835128,-0.4521
10.845085,-0.3778
10.855036,-0.2853
10.865029,-0.2371
10.874973,-0.2009
10.884917,-0.1881
10.894861,-0.1667
10.904808,-0.1343
10.914769,-0.1194
10.923189,-0.1094
10.933144,-0.0627
10.943093,-0.0301
10.953044,-0.0397
10.963032,-0.0518
10.97302,-0.1189
10.982956,-0.1526
10.992924,-0.2429
11.002873,-0.3081
11.012848,-0.3493
11.022785,-0.4464
11.032732,-0.4837
11.041112,-0.5739
11.051045,-0.5655
11.060973,-0.5763
11.070937,-0.4139
11.080888,-0.265
11.090812,-0.0498
11.100752,-0.0005
11.110692,-0.0953
11.120676,-0.4832
11.130617,-0.7375
11.140561,-0.5559
11.148937,-0.1825
11.159045,0.2144
11.169208,0.3402
11.179533,0.2976
11.189677,0.2167
11.199832,0.0261
11.209764,-0.1024
11.219744,-0.0073
11.229861,0.0278
11.240013,0.0047
11.249948,-0.0563
11.259901,-0.1879
11.269892,-0.3962
11.279829,-0.4046
11.28976,-0.2234
11.299813,0.0881
11.309932,0.361
11.32008,0.5354
11.330188,0.5967
11.3403,0.6222
11.350448,0.6061
11.360576,0.5084
11.370744,0.3118
11.380852,-0.0103
11.390772,-0.3966
11.400709,-0.5118
11.41064,-0.6277
11.420608,-0.6921
11.430557,-0.6952
11.440508,-0.6971
11.450421,-0.6892
11.46034,-0.655
11.470296,-0.6257
11.480233,-0.5471
11.490184,-0.4912
11.500112,-0.4146
11.510048,-0.3154
11.519985,-0.1858
11.529973,-0.0584
11.540033,0.0326
11.550132,0.0529
11.56026,0.0206
11.570352,-0.0059
11.580325,-0.0479
11.590292,-0.057
11.6003,0.0151
11.610388,0.1177
11.620496,0.1607
11.630828,0.1386
11.640953,0.0194
11.650889,-0.0995
11.660828,-0.2332
11.670772,-0.3198
11.680752,-0.3404
11.690709,-0.3748
11.70066,-0.3967
11.710597,-0.4172
11.720537,-0.4103
11.730517,-0.3933
11.740476,-0.3789
11.750365,-0.3432
11.760336,-0.3436
11.768709,-0.2991
11.778704,-0.2516
11.788677,-0.2412
11.798652,-0.175
11.808581,-0.1329
11.81856,-0.0887
11.828544,-0.1215
11.838504,-0.1448
11.848448,-0.3348
11.858401,-0.5979
11.868356,-0.3698
11.878313,-0.1808
11.888293,-0.1237
11.898257,-0.0074
11.906788,0.0977
11.91686,0.3023
11.926964,0.5329
11.937116,0.6122
11.947253,0.6417
11.95756,0.6477
11.967673,0.6145
11.977821,0.4867
11.988013,0.0978
11.997937,-0.3248
12.007881,-0.438
12.017796,-0.5739
12.027745,-0.6208
12.037733,-0.6311
12.047688,-0.5928
12.057624,-0.5068
12.067552,-0.4406
12.077476,-0.3496
12.087456,-0.2969
12.097396,-0.2601
12.107333,-0.2648
12.117293,-0.2509
12.127248,-0.2331
12.137228,-0.1975
12.147185,-0.1855
12.157156,-0.1471
12.16714,-0.1342
12.177108,-0.1455
12.187065,-0.1269
12.19704,-0.0836
12.206973,-0.072
12.216928,-0.111
12.225329,-0.0879
12.235288,-0.0746
12.245281,-0.0791
12.255256,-0.1002
12.265205,-0.0854
12.275136,-0.0891
12.285148,0.0678
12.295453,-0.0446
12.305389,-0.2257
12.315364,-0.3318
12.325337,-0.3335
12.335292,-0.4226
12.34528,-0.3295
12.355224,-0.3843
12.365184,-0.4608
12.375121,-0.4711
12.385081,-0.5316
12.395012,-0.6759
12.403405,-0.8072
12.413329,-0.7297
12.423284,-0.3878
12.433233,-0.1438
12.443177,-0.0165
12.453121,-0.1917
12.463101,-0.206
12.473036,-0.1413
12.482989,-0.0902
12.492968,-0.0789
12.501353,-0.0963
12.511308,-0.239
12.521265,-0.121
12.531365,0.2949
12.541484,0.5322
12.551632,0.6661
12.561733,0.7436
12.572049,0.7487
12.582164,0.6929
12.592296,0.5473
12.602429,-0.0842
12.612373,-0.3284
12.622324,-0.4152
12.632281,-0.4747
12.64222,-0.4931
12.652196,-0.5116
12.662149,-0.5367
12.672097,-0.5477
12.682024,-0.5158
12.691945,-0.4512
12.701932,-0.3794
12.711873,-0.3045
12.721824,-0.2635
12.731788,-0.2178
12.741728,-0.1733
12.751729,-0.1245
12.761685,-0.0779
12.771624,-0.0658
12.781557,-0.0702
12.791512,-0.1013
12.799888,-0.1194
12.809888,-0.1572
12.819845,-0.1511
12.82984,-0.1017
12.83978,-0.0437
12.849804,0.0007
12.859869,-0.0337
12.869812,-0.1216
12.879776,-0.1304
12.889717,-0.214
12.899677,-0.2871
12.909645,-0.3222
